epoch,step,train/cardinality_error,train/loss,train/loss_bbox,train/loss_ce,train/loss_giou
0,49,73.0,2.740903854370117,0.13327693939208984,0.9619259834289551,0.5562965869903564
0,99,63.0,2.8851983547210693,0.0869918242096901,1.4483891725540161,0.5009250640869141
0,149,68.0,2.298290252685547,0.10676299035549164,0.6386906504631042,0.5628923177719116
0,199,47.0,1.9645460844039917,0.08092356473207474,0.6717057824134827,0.4441112279891968
0,249,65.0,2.25728440284729,0.13688845932483673,0.576909065246582,0.49796655774116516
0,299,16.0,1.7636260986328125,0.06718814373016357,1.0166617631912231,0.20551177859306335
0,349,8.0,2.871127128601074,0.164909228682518,0.48894402384757996,0.7788184881210327
0,399,45.0,2.2337377071380615,0.10704416781663895,0.4957733154296875,0.6013717651367188
0,449,24.0,1.6428651809692383,0.06021023914217949,0.4972248077392578,0.42229461669921875
0,499,51.0,1.4754745960235596,0.0642661526799202,0.8395718932151794,0.15728598833084106
0,549,52.0,1.6280241012573242,0.07554369419813156,0.40248867869377136,0.4239085018634796
0,599,33.0,0.9446907043457031,0.03505074977874756,0.7081468105316162,0.03064507246017456
0,649,49.0,2.218825578689575,0.11117653548717499,0.5358307957649231,0.5635560750961304
0,699,69.0,1.6540557146072388,0.0710114911198616,0.4711712896823883,0.4139134883880615
0,749,51.0,1.6966872215270996,0.07160714268684387,0.6015494465827942,0.3685510456562042
0,799,25.0,2.694438934326172,0.18383434414863586,0.21699629724025726,0.7791354656219482
0,849,73.0,2.7834954261779785,0.13523735105991364,0.8639596104621887,0.6216745972633362
0,899,60.0,2.1312687397003174,0.06998287886381149,0.8128156065940857,0.4842694103717804
0,949,6.0,2.520212173461914,0.11706149578094482,0.9626791477203369,0.4861128330230713
